Median3,RMS3,PeakStd3,Std3,Mode3,PeakMean3,PToP3,Mean3,Median6,RMS6,Std6,PeakStd6,Mode6,Mean6,PeakMean6,PToP6,Judgment
79.94726088,30.50181086,607.7767703,932.0410335,-1670.931404,1080.713125,3341.862808,4.11169673,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94148241,30.49960624,607.7328411,931.973667,-1670.810632,1080.635013,3341.621264,4.111399549,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.9401983,30.49911631,607.7230791,931.9586967,-1670.783793,1080.617655,3341.567586,4.111333505,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94447865,30.50074936,607.7556193,932.0085978,-1670.873254,1080.675516,3341.746508,4.111553645,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94319454,30.50025945,607.7458572,931.9936275,-1670.846416,1080.658157,3341.692832,4.111487604,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.93613197,30.49756491,607.692166,931.9112906,-1670.698805,1080.562687,3341.39761,4.111124373,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94447865,30.50074936,607.7556193,932.0085978,-1670.873254,1080.675516,3341.746508,4.111553645,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.93613197,30.49756491,607.692166,931.9112906,-1670.698805,1080.562687,3341.39761,4.111124373,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94426463,30.50066771,607.7539922,932.0061027,-1670.868781,1080.672622,3341.737562,4.111542638,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94169642,30.49968789,607.7344681,931.9761621,-1670.815105,1080.637906,3341.63021,4.111410554,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.93463385,30.49699334,607.680777,931.8938252,-1670.667494,1080.542435,3341.334988,4.11104733,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94726088,30.50181086,607.7767703,932.0410335,-1670.931404,1080.713125,3341.862808,4.11169673,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94319454,30.50025945,607.7458572,931.9936275,-1670.846416,1080.658157,3341.692832,4.111487604,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94169642,30.49968789,607.7344681,931.9761621,-1670.815105,1080.637906,3341.63021,4.111410554,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94982908,30.5027907,607.7962945,932.0709742,-1670.985081,1080.747842,3341.970162,4.111828815,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94447865,30.50074936,607.7556193,932.0085978,-1670.873254,1080.675516,3341.746508,4.111553645,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.9401983,30.49911631,607.7230791,931.9586967,-1670.783793,1080.617655,3341.567586,4.111333505,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94576275,30.50123929,607.7653813,932.0235681,-1670.900093,1080.692874,3341.800186,4.111619688,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.93613197,30.49756491,607.692166,931.9112906,-1670.698805,1080.562687,3341.39761,4.111124373,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.94576275,30.50123929,607.7653813,932.0235681,-1670.900093,1080.692874,3341.800186,4.111619688,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.93613197,30.49756491,607.692166,931.9112906,-1670.698805,1080.562687,3341.39761,4.111124373,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.93463385,30.49699334,607.680777,931.8938252,-1670.667494,1080.542435,3341.334988,4.11104733,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
