,level_2,level_3,level_4,level_5,[LOGGING],RD81DL96_1,2,3,4
1,-13.0,1.0,2.0,-14.0,18346.0,29099.0,7340.0,18605.0,30126.0
2,1.0,1.0,2.0,-2.0,28217.0,10042.0,24891.0,7228.0,22589.0
3,7.0,1.0,2.0,7.0,7363.0,24516.0,9157.0,26822.0,11975.0
4,11.0,1.0,2.0,10.0,14930.0,3155.0,24404.0,13141.0,2134.0
5,8.0,1.0,2.0,8.0,25308.0,16093.0,7134.0,31199.0,22752.0
6,4.0,1.0,2.0,2.0,30571.0,25196.0,20077.0,15214.0,10607.0
7,8.0,1.0,2.0,9.0,27898.0,26363.0,25084.0,24061.0,23294.0
8,5.0,1.0,2.0,5.0,17289.0,19594.0,22155.0,24972.0,28045.0
9,9.0,1.0,2.0,9.0,31512.0,4889.0,11290.0,17947.0,24860.0
10,3.0,1.0,2.0,1.0,5031.0,15016.0,25257.0,2986.0,13739.0
11,8.0,1.0,2.0,8.0,3633.0,16178.0,28979.0,9268.0,22581.0
12,6.0,1.0,2.0,4.0,7616.0,24001.0,7874.0,24771.0,9156.0
13,8.0,1.0,2.0,9.0,3663.0,23888.0,11601.0,32338.0,20563.0
14,4.0,1.0,2.0,1.0,24542.0,15839.0,7392.0,31969.0,24034.0
15,9.0,1.0,2.0,8.0,4717.0,32622.0,28015.0,23664.0,19569.0
16,5.0,1.0,2.0,4.0,18679.0,16376.0,14329.0,12538.0,11003.0
17,9.0,1.0,2.0,8.0,29318.0,30855.0,32648.0,1929.0,4234.0
18,2.0,1.0,2.0,1.0,32021.0,4630.0,10263.0,16152.0,22297.0
19,9.0,1.0,2.0,10.0,26788.0,3237.0,12710.0,22439.0,32424.0
20,7.0,1.0,2.0,6.0,17710.0,29487.0,8752.0,21041.0,818.0
21,10.0,1.0,2.0,8.0,10173.0,25790.0,8895.0,25024.0,8641.0
22,1.0,1.0,2.0,2.0,27468.0,14157.0,1102.0,21071.0,8528.0
23,10.0,1.0,2.0,9.0,4059.0,27356.0,18141.0,9182.0,479.0
24,5.0,1.0,2.0,4.0,5482.0,32619.0,27244.0,22125.0,17262.0
25,9.0,1.0,2.0,9.0,31737.0,29946.0,28411.0,27132.0,26109.0
26,2.0,1.0,2.0,2.0,10883.0,11652.0,12677.0,13958.0,15495.0
27,9.0,1.0,2.0,9.0,2066.0,6675.0,11540.0,16661.0,22038.0
28,6.0,1.0,2.0,5.0,18081.0,26530.0,2467.0,11428.0,20645.0
29,9.0,1.0,2.0,9.0,26160.0,5681.0,18226.0,31027.0,11316.0
30,2.0,1.0,2.0,3.0,26303.0,9664.0,26049.0,9922.0,26819.0
31,8.0,1.0,2.0,9.0,18510.0,5711.0,25936.0,13649.0,1618.0
32,6.0,1.0,2.0,5.0,18648.0,8409.0,31194.0,21467.0,11996.0
33,9.0,1.0,2.0,10.0,8551.0,2152.0,28777.0,22890.0,17259.0
34,2.0,1.0,2.0,1.0,23286.0,20727.0,18424.0,16377.0,14586.0
35,9.0,1.0,2.0,9.0,30085.0,31366.0,135.0,1928.0,3977.0
36,6.0,1.0,2.0,6.0,7183.0,11024.0,15121.0,19474.0,24083.0
37,9.0,1.0,2.0,8.0,11678.0,19359.0,27296.0,2721.0,11170.0
38,4.0,1.0,2.0,4.0,8237.0,19758.0,31535.0,10800.0,23089.0
