,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Median1,Median2,Median3,Median4,Median5,Median6,Median7,Median8,Median9,Std1,Std2,Std3,Std4,Std5,Std6,Std7,Std8,Std9,Mode1,Mode2,Mode3,Mode4,Mode5,Mode6,Mode7,Mode8,Mode9,Kurtosis1,Kurtosis2,Kurtosis3,Kurtosis4,Kurtosis5,Kurtosis6,Kurtosis7,Kurtosis8,Kurtosis9,PToP1,PToP2,PToP3,PToP4,PToP5,PToP6,PToP7,PToP8,PToP9,RMS1,RMS2,RMS3,RMS4,RMS5,RMS6,RMS7,RMS8,RMS9
0,7.153061224489796,0.9362244897959183,1.9923469387755102,7.551020408163265,17324.397959183672,16319.683673469388,16824.84693877551,17502.418367346938,17182.11224489796,10.0,1.0,2.0,9.5,17838.0,16440.0,16595.5,18173.5,17586.5,9.827517128284637,0.24466487463894768,0.08725775112429784,8.794758319144737,9346.512655434943,9407.328614669921,9468.784013680954,9412.943760526956,9330.865401632322,10.0,1.0,2.0,8.0,7059.0,11924.0,17045.0,22422.0,28055.0,-0.3303342905842923,10.901946785393104,127.30767953132056,-0.3227139823698262,-1.2067748015465458,-1.2127279512354747,-1.179962206187768,-1.1971479570535064,-1.1708620524000728,47.0,1.0,1.0,45.0,32653.0,32632.0,32654.0,32590.0,32360.0,0.40406101782088427,0.0,0.050507627227610534,0.3535533905932738,356.5333405997028,602.252947062028,860.9025060946216,1132.4820176974836,1416.9914818706136
0,8.561224489795919,1.0,2.0,7.706632653061225,17839.57908163265,16980.497448979593,16711.783163265307,16197.517857142857,16190.02806122449,14.0,1.0,2.0,12.0,19093.5,17405.5,16723.5,15804.5,16188.0,11.645063124430964,0.0,0.0,11.142561744864269,9438.561506305297,9323.86999550552,9098.5395130206,8980.1097159884,9320.954788844389,14.0,1.0,2.0,14.0,15148.0,26413.0,5166.0,16943.0,28976.0,-0.5028785868197394,-3.0,-3.0,-0.3378738050398016,-1.100238934109775,-1.1114027722514703,-1.086281884846428,-1.0306897736467102,-1.1154828299538526,41.0,0.0,0.0,56.0,32715.0,32673.0,32688.0,32466.0,32650.0,0.6060915267313265,0.050507627227610534,0.10101525445522107,0.6060915267313265,765.0895372438445,1334.057957962877,260.92240225783604,855.7507281174053,1463.509006547243
0,9.706632653061224,1.0,1.9974489795918366,9.27295918367347,16502.974489795917,16199.647959183674,16653.872448979593,16444.586734693876,16491.301020408162,15.0,1.0,2.0,14.0,17143.0,16498.5,16558.5,16665.0,16073.0,11.88126066006397,0.0,0.05050762722761054,10.734864842658506,9512.964794475654,9355.336376621637,8920.906212729926,9160.094972236162,9550.018533809842,16.0,1.0,2.0,15.0,21420.0,32685.0,11438.0,23215.0,2480.0,-0.4096680837917419,-3.0,391.99999999999983,-0.14710537098070287,-1.2303821770546157,-1.1573603531503949,-1.0622196008600997,-1.1399615824259344,-1.2177379276966591,41.0,0.0,1.0,56.0,32490.0,32575.0,32657.0,32492.0,32430.0,0.5050762722761054,0.050507627227610534,0.10101525445522107,0.5555838995037159,1081.8733752154178,1650.8417959344504,577.7062402294093,1172.5345660889786,125.25891552447413
0,10.420918367346939,1.0,2.0,10.068877551020408,16787.428571428572,17164.591836734693,16460.285714285714,16262.755102040815,15986.857142857143,16.0,1.0,2.0,15.0,17189.5,17699.5,16622.5,16612.0,15977.0,12.07834066504752,0.0,0.0,10.65419484478271,9433.943596670813,9354.370880205384,9300.136546587164,9042.114501658294,9325.551772791125,16.0,1.0,2.0,16.0,27426.0,3363.0,12324.0,21541.0,31014.0,-0.3930725821287018,-3.0,-3.0,-0.13147086242082295,-1.155607297462206,-1.196643297501712,-1.1710452316688837,-1.0632547105541363,-1.2071056585771072,40.0,0.0,0.0,55.0,32732.0,32505.0,32754.0,32688.0,32684.0,0.6060915267313265,0.050507627227610534,0.10101525445522107,0.6060915267313265,1385.2221843444465,169.85715036645425,622.4559979530723,1087.9847981099585,1566.4435508371132
0,10.553571428571429,1.0,2.0,10.573979591836734,15994.663265306122,16635.663265306124,17365.479591836734,16094.316326530612,16834.581632653062,16.0,1.0,2.0,15.0,16269.5,17176.5,18377.5,16393.5,16392.5,12.145629022320174,0.0,0.0,10.697880205902392,9781.651957976459,9613.778827501716,9390.744955978036,9444.075001080007,8941.764293687022,16.0,1.0,2.0,-8.0,930.0,9635.0,18596.0,27813.0,4518.0,-0.4068583721827239,-3.0,-3.0,-0.12219534026143686,-1.2912722775431325,-1.2578379809940712,-1.1647761027615489,-1.1631694615667634,-1.0567659820056743,37.0,0.0,0.0,54.0,32492.0,32627.0,32382.0,32614.0,32722.0,0.5555838995037159,0.050507627227610534,0.10101525445522107,0.5555838995037159,46.972093321677804,486.6409883380275,939.2398359246456,1404.768636081532,228.1934598143444
0,11.08673469387755,1.0,2.0,11.323979591836734,16376.461734693878,16788.23724489796,16536.502551020407,16457.176020408162,16215.890306122448,17.0,1.0,2.0,16.0,16691.5,17088.0,16331.0,16444.0,16695.5,12.827505116749146,0.0,0.0,11.028428110006772,9684.236390076921,9512.382059310494,9693.094682123843,9422.109430474298,9622.922965752989,19.0,1.0,2.0,18.0,5651.0,10516.0,15637.0,21014.0,26647.0,-0.35262996807707214,-3.0,-3.0,-0.015395125279401345,-1.2478066159150862,-1.1928511442676064,-1.2712220870063873,-1.1959905979461798,-1.217918873260869,41.0,0.0,0.0,56.0,32689.0,32717.0,32555.0,32656.0,32701.0,0.5555838995037159,0.050507627227610534,0.10101525445522107,0.5555838995037159,285.41860146322716,531.1382079255524,789.787766958146,1061.3672785610079,1345.876742734138
0,30.4515306122449,5.762755102040816,19.099489795918366,30.93877551020408,16113.109693877552,15144.313775510203,16772.089285714286,16816.844387755104,16866.823979591838,18.0,5.0,2.0,17.0,15776.0,13662.0,17030.5,17158.0,16946.0,70.96166392505074,5.030580708240574,17.3886754971347,70.15132584769788,9561.21466112547,9818.91519737345,9670.885145813521,9635.240613315797,9582.142424831516,18.0,1.0,2.0,-8.0,6838.0,20663.0,1976.0,16313.0,30906.0,10.177806548435433,-0.38128035226390544,-1.9663378910302165,10.456442864487697,-1.1947825087002575,-1.2085587434113476,-1.1982472744477295,-1.275678562627023,-1.2047288060493009,401.0,17.0,36.0,415.0,32679.0,32617.0,32567.0,32560.0,32715.0,0.5555838995037159,0.050507627227610534,0.10101525445522107,0.6060915267313265,345.37115498240087,1043.6391014041167,99.80307140175842,823.9309229640107,1560.9887270965312
0,11.334183673469388,1.2678571428571428,2.0,12.00765306122449,16678.61224489796,16366.142857142857,16058.897959183674,16007.65306122449,16045.224489795919,19.0,1.0,2.0,18.0,17259.5,16566.0,15059.5,16183.0,15704.0,14.098776673163272,0.5179020239329655,0.0,12.257361381340534,9765.681790662324,9537.204724607693,9758.36231306459,9433.994625035992,9549.141649170384,21.0,1.0,2.0,19.0,31808.0,15425.0,32066.0,16195.0,580.0,-0.3411333311447984,2.3809176689578333,-3.0,-0.1922376790330227,-1.2895008908644916,-1.2126351392540857,-1.2061181373550387,-1.160032058976646,-1.2304988362443459,43.0,2.0,0.0,49.0,32572.0,32561.0,32702.0,32633.0,32754.0,0.5555838995037159,0.15152288168283162,0.10101525445522107,0.5555838995037159,1606.546606855836,779.0801499858926,1619.5775746805596,817.9710229511527,29.29442379201411
0,11.196428571428571,1.0,1.9974489795918366,11.954081632653061,16306.630102040815,15894.242346938776,16406.589285714286,16255.426020408164,16360.262755102041,19.0,1.0,2.0,18.0,15991.5,15643.0,16709.0,16951.5,16393.0,14.60580718688846,0.0,0.05050762722761054,12.827916076588565,9287.617206767816,9225.49491876208,9775.22419950435,9223.483713623877,9650.5594966459,20.0,1.0,2.0,20.0,25531.0,7868.0,23229.0,6078.0,21951.0,-0.310506520576705,-3.0,391.9999999999998,-0.17632567693043155,-1.1806825768172624,-1.1522272927643258,-1.2703590253800843,-1.1877119123292534,-1.2308563507619508,44.0,0.0,1.0,46.0,32683.0,32462.0,32718.0,32629.0,32656.0,0.5555838995037159,0.050507627227610534,0.10101525445522107,0.6060915267313265,1289.5102307481247,397.39401102683973,1173.241672870165,306.98535828941687,1108.692925273279
0,10.943877551020408,1.0,1.9948979591836735,11.846938775510203,17018.98469387755,17658.678571428572,16464.576530612245,16613.168367346938,16265.433673469388,19.0,1.0,2.0,19.0,17374.0,18673.5,16920.0,16038.0,16356.5,15.309990829430438,0.0,0.1010152544552211,13.673841991163679,9255.011843581242,9244.421975224315,9462.442959208602,9609.525972389854,9478.592826470292,21.0,1.0,2.0,20.0,27476.0,16213.0,5206.0,27223.0,16728.0,-0.2583513364876868,-3.0,391.9999999999998,-0.15136786057888063,-1.1856232377572018,-1.1059865564045106,-1.2679722626059444,-1.217714162930129,-1.165548747800392,47.0,0.0,2.0,49.0,32586.0,32506.0,32519.0,32518.0,32675.0,0.5555838995037159,0.050507627227610534,0.10101525445522107,0.5555838995037159,1387.7475657058271,818.8801602412497,262.94270734694044,1374.9691360172417,844.8915882634691
